phase,name,status,dataset,model,objective,seed,run_tag,target_epochs,target_folds,target_batch_size,target_eval_every,completed_folds,actual_epochs,actual_batch_size,actual_eval_every,lr,density_prior,mean_best_epoch,mean_valid_mAP,mean_valid_loss,tuned_mAP,tuned_mf1,score_required,purpose,run_dir
P3,core_model_main_table,pending,sleep,prectime,density_hard,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,hard,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,hard,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,hard,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,seg,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,seg,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,seg,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P4,kernel_and_segmentation_ablation,scored,sleep,gru,density_gau,0,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,20.0,0.6487628020569002,0.0019513875375418,0.6514676993362588,0.7089770172779496,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,pending,sleep,gru,density_gau,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P4,kernel_and_segmentation_ablation,pending,sleep,gru,density_gau,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
