dataset,model,objective,seed,run_tag,actual_epochs,actual_folds,actual_batch_size,actual_downsample,actual_eval_every,lr,density_prior,score_after_train,completed_folds,recorded_epochs,latest_fold,latest_epoch,latest_epoch_total,latest_train_loss,latest_valid_mAP,latest_eval_fold,latest_eval_epoch,latest_eval_valid_mAP,best_eval_fold,best_eval_epoch,best_eval_valid_mAP,avg_epoch_runtime_sec,avg_eval_epoch_runtime_sec,avg_train_epoch_runtime_sec,estimated_current_fold_remaining_min,mean_valid_mAP,mean_valid_loss,mean_best_epoch,tuned_mAP,tuned_mf1,strict3_tuned_mAP,strict3_tuned_mf1,strict3_score_file,run_dir
sleep,flstm,seg,0,online_smoothing_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.2035715512369798,0.18555073961846943,12.5,0.1982040324248239,0.3386077584468905,,,,experiments/sleep/flstm/seg/seed_0_online_smoothing_e20_bs32_eval5
sleep,flstm,seg,1,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.22267204865011386,0.22609692962095906,5.0,0.2320444467798752,0.336008818595968,,,,experiments/sleep/flstm/seg/seed_1_online_e20_bs32_eval5
sleep,flstm,seg,2,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.22573026067523216,0.21651479751990013,8.75,0.2539751836521949,0.364045773011601,,,,experiments/sleep/flstm/seg/seed_2_online_e20_bs32_eval5
sleep,gru,custom,0,objective_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.5700117284298498,0.29401034272081117,20.0,0.545348128498409,0.6528981551983104,,,,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5
sleep,gru,density_custom,0,,1,2,10,10,,,sparse,,2,0,,,,,,,,,,,,,,,,0.02517147130318425,0.0033989286319099,1.0,,,,,,experiments/sleep/gru/density_custom/seed_0
sleep,gru,density_custom,0,lr1e3_e2,2,2,10,10,,0.001,sparse,False,2,0,,,,,,,,,,,,,,,,0.02869578700841375,0.0033918103585259003,2.0,,,,,,experiments/sleep/gru/density_custom/seed_0_lr1e3_e2
sleep,gru,density_custom,0,lr3e3_e10_gpu,10,4,10,10,,0.003,sparse,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,experiments/sleep/gru/density_custom/seed_0_lr3e3_e10_gpu
sleep,gru,density_custom,0,lr3e3_e2,2,2,10,10,,0.003,sparse,False,2,0,,,,,,,,,,,,,,,,0.035832349800330246,0.0033813387872337498,2.0,0.0332659705324627,0.0791698903784621,,,,experiments/sleep/gru/density_custom/seed_0_lr3e3_e2
sleep,gru,density_custom,0,lr3e3_e20_gpu_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.5814188455991876,0.002235910121636325,18.75,0.5952504561796061,0.6745204800033334,,,,experiments/sleep/gru/density_custom/seed_0_lr3e3_e20_gpu_bs32_eval5
sleep,gru,density_custom,0,lr3e4_e2,2,2,10,10,,0.0003,sparse,False,2,0,,,,,,,,,,,,,,,,0.0204462969737467,0.00340609852307035,2.0,,,,,,experiments/sleep/gru/density_custom/seed_0_lr3e4_e2
sleep,gru,density_custom,0,objective_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.5789545222177193,0.0022333080448741997,20.0,0.5915284931144524,0.6766997986442229,,,,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5
sleep,gru,density_custom,0,prior_none_e20_bs32_eval5,20,4,32,10,5.0,0.003,none,True,4,0,,,,,,,,,,,,,,,,0.018519334022925125,0.003416290063408275,20.0,0.0154553441282828,0.044501283600751,,,,experiments/sleep/gru/density_custom/seed_0_prior_none_e20_bs32_eval5
sleep,gru,density_custom,0,prior_sparse_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.5789545222177193,0.0022333080448741997,20.0,0.5915284931144524,0.6766997986442229,,,,experiments/sleep/gru/density_custom/seed_0_prior_sparse_e20_bs32_eval5
sleep,gru,density_custom,0,smoke_opt,1,2,10,10,,0.001,sparse,,2,0,,,,,,,,,,,,,,,,0.02517147130318425,0.0033989286319099,1.0,,,,,,experiments/sleep/gru/density_custom/seed_0_smoke_opt
sleep,gru,density_custom,0,tol05_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6352670759645082,0.002047753688461325,17.5,0.6398977624552431,0.7039795851272769,,,,experiments/sleep/gru/density_custom/seed_0_tol05_e20_bs32_eval5
sleep,gru,density_custom,0,tol15_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.5475563793967766,0.00235486099004695,20.0,0.5634040205543966,0.6524127531931866,,,,experiments/sleep/gru/density_custom/seed_0_tol15_e20_bs32_eval5
sleep,gru,density_custom,1,objective_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.5850446275319399,0.002236630635253275,20.0,0.6034150430511749,0.6826560071213048,,,,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5
sleep,gru,density_custom,1,prior_none_e20_bs32_eval5,20,4,32,10,5.0,0.003,none,True,4,0,,,,,,,,,,,,,,,,0.023002358713488574,0.003418851096302175,20.0,0.0185949665816411,0.0502000782245252,,,,experiments/sleep/gru/density_custom/seed_1_prior_none_e20_bs32_eval5
sleep,gru,density_custom,1,prior_sparse_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.5850446275319399,0.002236630635253275,20.0,0.6034150430511749,0.6826560071213048,,,,experiments/sleep/gru/density_custom/seed_1_prior_sparse_e20_bs32_eval5
sleep,gru,density_custom,2,objective_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6100442271610118,0.002222995497100075,18.75,0.6198218402943414,0.6919531827486268,,,,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5
sleep,gru,density_custom,2,prior_none_e20_bs32_eval5,20,4,32,10,5.0,0.003,none,True,4,0,,,,,,,,,,,,,,,,0.017507650910383,0.0034208061837341748,20.0,0.0146690363955968,0.0429720590398678,,,,experiments/sleep/gru/density_custom/seed_2_prior_none_e20_bs32_eval5
sleep,gru,density_custom,2,prior_sparse_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6100442271610118,0.002222995497100075,18.75,0.6198218402943414,0.6919531827486268,,,,experiments/sleep/gru/density_custom/seed_2_prior_sparse_e20_bs32_eval5
sleep,gru,density_gau,0,objective_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.6487628020569002,0.0019513875375418,20.0,0.6514676993362588,0.7089770172779496,,,,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5
sleep,gru,density_gau,1,objective_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6584434337969122,0.0019508660595802,18.75,0.6602551407858877,0.7126361856148165,,,,experiments/sleep/gru/density_gau/seed_1_objective_e20_bs32_eval5
sleep,gru,density_gau,2,objective_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6654290755303347,0.0019369615380022249,20.0,0.6690689029677553,0.7198907308402238,,,,experiments/sleep/gru/density_gau/seed_2_objective_e20_bs32_eval5
