dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,300.0,0.2248499155204473,0.017343843044605966,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,360.0,0.24630732829326749,0.018793619655912464,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,12.0,0.05065967403441643,0.001071337040707931,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,12.0,0.035712299269418706,0.0010643325657019554,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,36.0,0.21159031512597615,0.0037666519230013656,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,36.0,0.19138593747465296,0.004921351677055003,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,60.0,0.26718532041048815,0.0027996575799935476,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,60.0,0.27154811988401856,0.0062758660940485066,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,90.0,0.2918156200844526,0.0027573112766443716,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,90.0,0.324687025036197,0.005188987887576823,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,120.0,0.3058058843419668,0.003143153876560355,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,120.0,0.36005615853458955,0.00597734208222051,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,150.0,0.3155648827768544,0.002999803235463496,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,150.0,0.3858983921497165,0.00613210880994128,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,180.0,0.3224573908145211,0.003001895324618701,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,180.0,0.40642593904985264,0.0056184422477172065,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,240.0,0.3303614508760451,0.0028246964532548744,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,240.0,0.4310840004548222,0.00589802944441054,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,300.0,0.33751766026789204,0.0032977918516816918,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,300.0,0.44579656971389814,0.005877755693654741,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,360.0,0.3423848987243983,0.0035903800824583355,3
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,360.0,0.4538815176519819,0.006143265481751764,3
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,12.0,0.000224830182661,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,36.0,0.0126510853808668,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,60.0,0.0490929542675226,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,90.0,0.1073602822255004,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,120.0,0.1616331283136909,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,150.0,0.2094101729639536,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,180.0,0.2526052733329521,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,240.0,0.3126051442790509,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,300.0,0.3464701168121167,,1
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,360.0,0.3693252513036629,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,12.0,0.0005885774221004,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,36.0,0.0162355652427672,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,60.0,0.052720151901486,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,90.0,0.1061538195634648,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,120.0,0.154923526889021,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,150.0,0.1967588492954299,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,180.0,0.2358580202947905,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,240.0,0.287303936288903,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,300.0,0.3159666498827247,,1
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,360.0,0.3344011407396885,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,12.0,0.0517002802117236,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,12.0,0.0281381538585968,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,36.0,0.1744398639275242,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,36.0,0.1478572006758542,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,60.0,0.1991504800785637,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,60.0,0.2050642202149093,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,90.0,0.2114469248169713,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,90.0,0.2386291324249358,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,120.0,0.2184247357464392,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,120.0,0.2594224227308279,,1
